time,temp,setpoint,M_out,P_out,I_out,D_out,PID_out,error,intError,gradient
4813.917658567429,130.02,130,54.41950264488522,-0.5040000000002578,54.92350264488548,0.0,54.41950264488522,-0.020000000000010232,1693.474664883969,-4811.886316776276
4815.9586527347565,130.02,130,54.41885399623657,-0.5040000000002578,54.92285399623683,0.0,54.41885399623657,-0.020000000000010232,1693.454664883969,-4813.917658567429
4817.993213176727,130.02,130,54.41820534758792,-0.5040000000002578,54.92220534758818,0.0,54.41820534758792,-0.020000000000010232,1693.434664883969,-4815.9586527347565
4820.022047758102,130.02,130,54.41755669893928,-0.5040000000002578,54.92155669893954,0.0,54.41755669893928,-0.020000000000010232,1693.414664883969,-4817.993213176727
4822.053528308868,130.02,130,54.41690805029063,-0.5040000000002578,54.92090805029089,0.0,54.41690805029063,-0.020000000000010232,1693.394664883969,-4820.022047758102
4824.092949390411,130.021,130,54.391026969210145,-0.5291999999996619,54.92022696920981,0.0,54.391026969210145,-0.020999999999986585,1693.373664883969,-4822.0535281015755
4826.128744125366,130.021,130,54.39034588812907,-0.5291999999996619,54.91954588812873,0.0,54.39034588812907,-0.020999999999986585,1693.352664883969,-4824.092949390411
4828.165559768677,130.021,130,54.389664807047986,-0.5291999999996619,54.91886480704765,0.0,54.389664807047986,-0.020999999999986585,1693.331664883969,-4826.128744125366
4830.208055734634,130.021,130,54.38898372596691,-0.5291999999996619,54.91818372596657,0.0,54.38898372596691,-0.020999999999986585,1693.3106648839691,-4828.165559768677
4832.265595197678,130.021,130,54.388302644885826,-0.5291999999996619,54.91750264488549,0.0,54.388302644885826,-0.020999999999986585,1693.2896648839692,-4830.208055734634
4834.299216270447,130.021,130,54.38762156380475,-0.5291999999996619,54.91682156380441,0.0,54.38762156380475,-0.020999999999986585,1693.2686648839692,-4832.265595197678
4836.32817196846,130.021,130,54.386940482723666,-0.5291999999996619,54.91614048272333,0.0,54.386940482723666,-0.020999999999986585,1693.2476648839693,-4834.299216270447
4838.369400262833,130.022,130,54.36102696921004,-0.5543999999997823,54.91542696920982,0.0,54.36102696921004,-0.02199999999999136,1693.2256648839693,-4836.328171761779
4840.3991487026215,130.022,130,54.36031345569653,-0.5543999999997823,54.91471345569631,0.0,54.36031345569653,-0.02199999999999136,1693.2036648839694,-4838.369400262833
4842.426614522934,130.022,130,54.35959994218302,-0.5543999999997823,54.9139999421828,0.0,54.35959994218302,-0.02199999999999136,1693.1816648839695,-4840.3991487026215
4844.453416109085,130.022,130,54.35888642866951,-0.5543999999997823,54.91328642866929,0.0,54.35888642866951,-0.02199999999999136,1693.1596648839695,-4842.426614522934
4846.511308431625,130.022,130,54.35817291515599,-0.5543999999997823,54.91257291515577,0.0,54.35817291515599,-0.02199999999999136,1693.1376648839696,-4844.453416109085
4848.5556354522705,130.022,130,54.35745940164248,-0.5543999999997823,54.91185940164226,0.0,54.35745940164248,-0.02199999999999136,1693.1156648839697,-4846.511308431625
4850.598395347595,130.023,130,54.33151345569642,-0.5795999999999025,54.91111345569632,0.0,54.33151345569642,-0.022999999999996135,1693.0926648839697,-4848.555635246111
4852.6411719322205,130.022,130,54.355999942183026,-0.5543999999997823,54.910399942182806,0.0,54.355999942183026,-0.02199999999999136,1693.0706648839698,-4850.5983955536685
4854.672627210617,130.022,130,54.355286428669515,-0.5543999999997823,54.909686428669296,0.0,54.355286428669515,-0.02199999999999136,1693.0486648839699,-4852.6411719322205
4856.723449468613,130.023,130,54.32934048272345,-0.5795999999999025,54.90894048272335,0.0,54.32934048272345,-0.022999999999996135,1693.02566488397,-4854.672627004717
4858.7636733055115,130.022,130,54.35382696921006,-0.5543999999997823,54.90822696920984,0.0,54.35382696921006,-0.02199999999999136,1693.00366488397,-4856.723449674427
4860.803068161011,130.023,130,54.327881023264,-0.5795999999999025,54.9074810232639,0.0,54.327881023264,-0.022999999999996135,1692.9806648839701,-4858.763673099784
4862.832587480545,130.022,130,54.35236750975061,-0.5543999999997823,54.90676750975039,0.0,54.35236750975061,-0.02199999999999136,1692.9586648839702,-4860.803068366652
4864.864797830582,130.023,130,54.326421563804544,-0.5795999999999025,54.906021563804444,0.0,54.326421563804544,-0.022999999999996135,1692.9356648839703,-4862.832587274989
4866.89146065712,130.023,130,54.3256756178586,-0.5795999999999025,54.9052756178585,0.0,54.3256756178586,-0.022999999999996135,1692.9126648839704,-4864.864797830582
4868.929753780365,130.023,130,54.324929671912656,-0.5795999999999025,54.904529671912556,0.0,54.324929671912656,-0.022999999999996135,1692.8896648839705,-4866.89146065712
4870.957134962082,130.023,130,54.32418372596671,-0.5795999999999025,54.90378372596661,0.0,54.32418372596671,-0.022999999999996135,1692.8666648839705,-4868.929753780365
4872.986932754517,130.023,130,54.323437780020775,-0.5795999999999025,54.903037780020675,0.0,54.323437780020775,-0.022999999999996135,1692.8436648839706,-4870.957134962082
4875.022267103195,130.023,130,54.32269183407483,-0.5795999999999025,54.90229183407473,0.0,54.32269183407483,-0.022999999999996135,1692.8206648839707,-4872.986932754517
4877.07173371315,130.023,130,54.32194588812889,-0.5795999999999025,54.90154588812879,0.0,54.32194588812889,-0.022999999999996135,1692.7976648839708,-4875.022267103195
4879.123239994049,130.023,130,54.32119994218294,-0.5795999999999025,54.90079994218284,0.0,54.32119994218294,-0.022999999999996135,1692.774664883971,-4877.07173371315
4881.16622877121,130.023,130,54.320453996237,-0.5795999999999025,54.9000539962369,0.0,54.320453996237,-0.022999999999996135,1692.751664883971,-4879.123239994049
4883.203412532806,130.023,130,54.319708050291055,-0.5795999999999025,54.899308050290955,0.0,54.319708050291055,-0.022999999999996135,1692.728664883971,-4881.16622877121
4885.235240459442,130.023,130,54.31896210434511,-0.5795999999999025,54.89856210434501,0.0,54.31896210434511,-0.022999999999996135,1692.7056648839712,-4883.203412532806
4887.269029855728,130.024,130,54.292983725966614,-0.6048000000000229,54.89778372596664,0.0,54.292983725966614,-0.02400000000000091,1692.6816648839713,-4885.235240254829
4889.314241170883,130.024,130,54.29220534758824,-0.6048000000000229,54.89700534758826,0.0,54.29220534758824,-0.02400000000000091,1692.6576648839714,-4887.269029855728
4891.345556735992,130.024,130,54.291426969209866,-0.6048000000000229,54.89622696920989,0.0,54.291426969209866,-0.02400000000000091,1692.6336648839715,-4889.314241170883
4893.373872280121,130.024,130,54.29064859083149,-0.6048000000000229,54.89544859083151,0.0,54.29064859083149,-0.02400000000000091,1692.6096648839716,-4891.345556735992
4895.400648355484,130.024,130,54.28987021245312,-0.6048000000000229,54.89467021245314,0.0,54.28987021245312,-0.02400000000000091,1692.5856648839717,-4893.373872280121
4897.4301908016205,130.024,130,54.28909183407474,-0.6048000000000229,54.893891834074765,0.0,54.28909183407474,-0.02400000000000091,1692.5616648839718,-4895.400648355484
4899.462333440781,130.025,130,54.26308102326381,-0.6300000000001432,54.89308102326395,0.0,54.26308102326381,-0.025000000000005684,1692.5366648839718,-4897.430190597516
4901.4973912239075,130.024,130,54.28750264488555,-0.6048000000000229,54.892302644885575,0.0,54.28750264488555,-0.02400000000000091,1692.5126648839719,-4899.4623336448
4903.524956703186,130.024,130,54.28672426650718,-0.6048000000000229,54.891524266507204,0.0,54.28672426650718,-0.02400000000000091,1692.488664883972,-4901.4973912239075
4905.578850030899,130.025,130,54.26071345569624,-0.6300000000001432,54.890713455696385,0.0,54.26071345569624,-0.025000000000005684,1692.463664883972,-4903.524956499336
4907.610347270966,130.025,130,54.25990264488543,-0.6300000000001432,54.889902644885574,0.0,54.25990264488543,-0.025000000000005684,1692.4386648839718,-4905.578850030899
4909.638557195663,130.025,130,54.25909183407462,-0.6300000000001432,54.88909183407476,0.0,54.25909183407462,-0.025000000000005684,1692.4136648839717,-4907.610347270966
4911.671218395233,130.025,130,54.258281023263805,-0.6300000000001432,54.88828102326395,0.0,54.258281023263805,-0.025000000000005684,1692.3886648839716,-4909.638557195663
4913.717752695084,130.025,130,54.257470212452986,-0.6300000000001432,54.88747021245313,0.0,54.257470212452986,-0.025000000000005684,1692.3636648839715,-4911.671218395233
4915.749562501907,130.025,130,54.256659401642175,-0.6300000000001432,54.88665940164232,0.0,54.256659401642175,-0.025000000000005684,1692.3386648839714,-4913.717752695084
4917.782496213913,130.025,130,54.25584859083136,-0.6300000000001432,54.88584859083151,0.0,54.25584859083136,-0.025000000000005684,1692.3136648839713,-4915.749562501907
4919.825597286224,130.025,130,54.25503778002055,-0.6300000000001432,54.885037780020696,0.0,54.25503778002055,-0.025000000000005684,1692.2886648839713,-4917.782496213913
4921.868494510651,130.025,130,54.25422696920973,-0.6300000000001432,54.88422696920988,0.0,54.25422696920973,-0.025000000000005684,1692.2636648839712,-4919.825597286224
4923.903256416321,130.025,130,54.25341615839892,-0.6300000000001432,54.883416158399065,0.0,54.25341615839892,-0.025000000000005684,1692.238664883971,-4921.868494510651
