time,T_sensor,Output
0.6262390613555908,102.151,"+000.00
"
2.1453285217285156,102.151,"+000.00
"
3.67224383354187,102.151,"+000.00
"
5.201044082641602,102.151,"+000.00
"
6.717585802078247,102.151,"+000.00
"
8.23898983001709,102.151,"+000.00
"
9.761424779891968,102.15,"+000.00
"
11.283872127532959,102.151,"+000.00
"
12.805970668792725,102.15,"+000.00
"
14.33154034614563,102.15,"+000.00
"
15.856314182281494,102.15,"+000.00
"
17.38110661506653,102.15,"+000.00
"
18.910288095474243,102.151,"+000.00
"
20.437092065811157,102.151,"+000.00
"
21.961049795150757,102.151,"+000.00
"
23.48012065887451,102.151,"+000.00
"
25.003235816955566,102.151,"+000.00
"
26.52477765083313,102.151,"+000.00
"
28.04874324798584,102.151,"+000.00
"
29.574153661727905,102.151,"+000.00
"
31.10013175010681,102.152,"+000.00
"
32.62689399719238,102.152,"+000.00
"
34.15059161186218,102.152,"+000.00
"
35.67239546775818,102.152,"+000.00
"
37.194371938705444,102.152,"+000.00
"
38.71696329116821,102.152,"+000.00
"
40.239580154418945,102.151,"+000.00
"
41.763737201690674,102.152,"+000.00
"
43.29375433921814,102.152,"+000.00
"
44.82438540458679,102.152,"+000.00
"
46.350865840911865,102.152,"+000.00
"
47.87547945976257,102.152,"+000.00
"
49.3979709148407,102.152,"+000.00
"
50.92219138145447,102.152,"+000.00
"
52.43695855140686,102.152,"+000.00
"
53.95902132987976,102.152,"+000.00
"
55.47792434692383,102.152,"+000.00
"
57.0030517578125,102.152,"+000.00
"
58.53071331977844,102.152,"+000.00
"
60.05451440811157,102.152,"+000.00
"
61.58108377456665,102.152,"+000.00
"
63.112186670303345,102.152,"+000.00
"
64.63484477996826,102.151,"+000.00
"
66.15625548362732,102.151,"+000.00
"
67.68218445777893,102.151,"+000.00
"
69.20736384391785,102.151,"+000.00
"
70.73120641708374,102.15,"+000.00
"
72.25889301300049,102.15,"+000.00
"
73.78393840789795,102.15,"+000.00
"
75.31209301948547,102.15,"+000.00
"
76.83945059776306,102.149,"+000.00
"
78.36989498138428,102.149,"+000.00
"
79.89630699157715,102.149,"+000.00
"
81.42493486404419,102.149,"+000.00
"
82.95274710655212,102.149,"+000.00
"
84.48019456863403,102.148,"+000.00
"
86.00687003135681,102.148,"+000.00
"
87.52725672721863,102.148,"+000.00
"
89.04876947402954,102.147,"+000.00
"
90.570059299469,102.147,"+000.00
"
92.09872102737427,102.147,"+000.00
"
93.62777829170227,102.146,"+000.00
"
95.15671157836914,102.146,"+000.00
"
96.68646740913391,102.146,"+000.00
"
98.21135807037354,102.145,"+000.00
"
99.7513337135315,102.145,"+000.00
"
101.2854552268982,102.145,"+000.00
"
102.81435871124268,102.144,"+000.00
"
104.33770966529846,102.144,"+000.00
"
105.86227250099182,102.144,"+000.00
"
107.39102792739868,102.144,"+000.00
"
108.91506505012512,102.144,"+000.00
"
110.44161486625671,102.144,"+000.00
"
111.96631240844727,102.144,"+000.00
"
113.49399542808533,102.144,"+000.00
"
115.01746797561646,102.145,"+000.00
"
116.54759359359741,102.145,"+000.00
"
118.07191157341003,102.145,"+000.00
"
119.58982920646667,102.145,"+000.00
"
121.09737944602966,102.145,"+000.00
"
122.63192224502563,102.145,"+000.00
"
124.16035008430481,102.145,"+000.00
"
125.68704009056091,102.145,"+000.00
"
127.21423840522766,102.145,"+000.00
"
128.74769520759583,102.145,"+000.00
"
130.26891779899597,102.145,"+000.00
"
131.79884362220764,102.145,"+000.00
"
133.32328128814697,102.145,"+000.00
"
