out,new out index,endAvgTemp
5.0,0,101.89509701492537
10.0,721,102.20827611940298
15.0,1572,102.98060447761192
20.0,3011,103.95357089552238
25.0,4386,105.66005597014926
30.0,6075,107.20175373134329
35.0,7448,110.03223507462687
40.0,10019,113.28639552238806
45.0,12807,117.0178880597015
50.0,15194,0.0
