time,temp,output,slope
0.198254585,102.578,5,
1.308779478,102.578,5,
2.4398458,102.578,5,
3.565471411,102.578,5,
4.698060989,102.578,5,
5.821228266,102.578,5,
6.945620298,102.579,5,
8.068555593,102.579,5,
9.191540718,102.579,5,
10.31795359,102.58,5,
11.43606114,102.58,5,
12.5631597,102.58,5,
13.6864419,102.58,5,
14.81140971,102.58,5,
15.93735671,102.581,5,
17.05123377,102.581,5,
18.16582704,102.581,5,
19.28729796,102.582,5,
20.41250086,102.582,5,
21.52581882,102.583,5,
22.64839554,102.583,5,
23.76904416,102.583,5,
24.89773512,102.584,5,
26.0134685,102.584,5,
27.12868643,102.584,5,
28.24387383,102.585,5,
29.36085463,102.586,5,
30.48443079,102.586,5,
31.6070137,102.587,5,
32.72819662,102.587,5,
33.85087919,102.587,5,
34.96794295,102.588,5,
36.08994579,102.588,5,
37.20702767,102.589,5,
38.32111835,102.589,5,
39.43677759,102.589,5,
40.55931377,102.59,5,
41.67953467,102.59,5,
42.79848719,102.59,5,
43.91495299,102.591,5,
45.03631902,102.591,5,
46.15818644,102.592,5,
47.27129006,102.592,5,
48.39722109,102.592,5,
49.51978469,102.593,5,
50.64330316,102.593,5,
51.76675677,102.594,5,
52.88997722,102.594,5,
54.00820017,102.594,5,
55.13173389,102.594,5,
56.25413465,102.594,5,
57.37472677,102.595,5,
58.49265003,102.595,5,
59.61560774,102.595,5,
60.72750783,102.596,5,
61.84945154,102.596,5,
62.96656275,102.596,5,
64.09031391,102.597,5,
65.20627427,102.597,5,
66.32957101,102.597,5,
67.44681764,102.597,5,
68.57377028,102.598,5,
69.69413948,102.598,5,
70.81561875,102.599,5,
71.93174005,102.599,5,
73.05307579,102.599,5,
74.17014599,102.599,5,
75.29321337,102.599,5,
76.41186333,102.6,5,
77.53455496,102.6,5,
78.65601778,102.6,5,
79.77965093,102.6,5,
80.90203381,102.6,5,
83.14409232,102.6,5,
84.26801205,102.6,5,
85.38873696,102.6,5,
86.51170778,102.601,5,
87.63141823,102.601,5,
88.74872494,102.601,5,
89.87132502,102.601,5,
90.99226117,102.601,5,
92.10661578,102.601,5,
93.22423267,102.601,5,
94.34769559,102.601,5,
95.47161984,102.601,5,
96.58385563,102.602,5,
97.70612478,102.602,5,
98.82858801,102.602,5,
99.9507699,102.602,5,
101.0791142,102.602,5,
102.2023087,102.603,5,
103.3259795,102.603,5,
104.4499421,102.603,5,
105.5700724,102.604,5,
106.6944516,102.604,5,
107.8187401,102.604,5,
108.9405422,102.605,5,
110.0531096,102.605,5,
111.1764898,102.605,5,
112.2987502,102.605,5,
113.4240463,102.605,5,
114.5492454,102.605,5,
115.6653619,102.606,5,
116.780201,102.606,5,
117.9055023,102.606,5,
119.0333595,102.606,5,
120.1569438,102.606,5,
121.2845237,102.606,5,
122.3992686,102.606,5,
123.52807,102.606,5,
124.6536489,102.607,5,
125.7768149,102.607,5,
126.898361,102.607,5,
128.017334,102.607,5,
129.1365919,102.607,5,
130.2625151,102.607,5,
131.3860695,102.607,5,
132.5033832,102.607,5,
133.624284,102.607,5,
134.7415895,102.608,5,
135.8655515,102.607,5,
136.983784,102.608,5,
138.1082897,102.608,5,
139.224257,102.608,5,
140.3518476,102.608,5,
141.4686124,102.608,5,
142.5952446,102.609,5,
143.7108076,102.609,5,
144.8348622,102.609,5,
145.9647858,102.61,5,
147.0833571,102.61,5,
148.2028415,102.611,5,
149.3203063,102.611,5,
150.4346323,102.611,5,
151.5587358,102.612,5,
152.6802833,102.612,5,
153.7988191,102.613,5,
154.922689,102.613,5,
156.0479186,102.613,5,
157.167649,102.613,5,
158.289762,102.614,5,
159.4053519,102.614,5,
160.527493,102.614,5,
161.6548598,102.614,5,
162.7773042,102.615,5,
163.8966517,102.615,5,
165.0270631,102.615,5,
166.1525617,102.615,5,
167.2811918,102.615,5,
168.3980298,102.615,5,
169.5117621,102.615,5,
170.6273091,102.615,5,
171.7576342,102.616,5,
172.8804998,102.616,5,
173.9994504,102.616,5,
175.1174095,102.616,5,
176.2342272,102.617,5,
177.360096,102.616,5,
178.4891369,102.617,5,
179.6116242,102.617,5,
180.7352655,102.616,5,
181.8599243,102.617,5,
182.9875562,102.617,5,
184.1122286,102.617,5,
185.2413218,102.617,5,
186.3656187,102.617,5,
187.4918454,102.617,5,
188.6237373,102.617,5,
189.746865,102.617,5,
190.8842933,102.617,5,
192.0060604,102.617,5,
193.1283588,102.617,5,
194.2497516,102.618,5,
195.3711231,102.618,5,
196.4867883,102.618,5,
197.6108382,102.618,5,
198.7315187,102.618,5,
199.8494534,102.618,5,
200.9706595,102.618,5,
202.0898838,102.618,5,
203.2114637,102.619,5,
204.3294749,102.619,5,
205.4461682,102.619,5,
206.5735254,102.62,5,
207.6914797,102.62,5,
208.8067143,102.62,5,
209.9274633,102.62,5,
211.047935,102.62,5,
212.1748216,102.621,5,
213.3037667,102.621,5,
214.4240615,102.621,5,
215.5466115,102.621,5,
216.6656251,102.621,5,
217.7881131,102.622,5,
218.9105337,102.622,5,
220.0352242,102.622,5,
221.1586468,102.623,5,
222.2809627,102.623,5,
223.4056096,102.623,5,
224.5244865,102.624,5,
225.6458461,102.624,5,
226.7662878,102.624,5,
227.8882589,102.624,5,
229.0075974,102.625,5,
