time,temp,output,slope,
224.8457189,135.645,55,,
225.9699056,135.654,55,,
227.0970192,135.66,55,,
228.2259076,135.667,55,,
229.3455355,135.674,55,,
230.4751022,135.681,55,,
231.6000075,135.688,55,,
232.7212567,135.695,55,,
233.8492644,135.701,55,,
234.9672439,135.708,55,,
236.0842278,135.716,55,,
237.1998165,135.722,55,,
238.3254747,135.729,55,,
239.4530997,135.735,55,,
240.5768137,135.742,55,,
241.7001617,135.749,55,,
242.8244352,135.756,55,,
243.9457169,135.762,55,,
245.0720592,135.769,55,,
246.1932304,135.776,55,,
247.3216131,135.782,55,,
248.4462869,135.789,55,,
249.5612967,135.794,55,,
250.6796,135.802,55,,
251.7937887,135.808,55,,
252.9181025,135.814,55,,
254.0430026,135.821,55,,
255.1733484,135.827,55,,
256.2950335,135.834,55,,
257.4167619,135.84,55,,
258.5314171,135.846,55,,
259.6508291,135.852,55,,
260.7680688,135.859,55,,
261.8929572,135.865,55,,
263.0139656,135.871,55,,
264.1413038,135.877,55,,
265.2567737,135.883,55,,
266.3773153,135.889,55,,
267.4909761,135.896,55,,
268.6192958,135.902,55,,
269.7379355,135.908,55,,
270.8628304,135.913,55,,
271.99266,135.919,55,,
273.1135032,135.926,55,,
274.2377725,135.932,55,,
275.3640518,135.937,55,,
276.4885943,135.943,55,,
277.6198783,135.949,55,,
278.7450402,135.955,55,,
279.8577702,135.961,55,,
280.9803593,135.967,55,,
282.1018238,135.973,55,,
283.2244065,135.979,55,,
284.3506033,135.984,55,,
285.4723473,135.99,55,,
286.5954995,135.996,55,,
287.7205739,136.002,55,,
288.8490949,136.008,55,,
289.9733326,136.014,55,,
291.1021507,136.019,55,,
292.2330914,136.025,55,,
293.346329,136.03,55,,
294.4769161,136.036,55,,
295.5940421,136.042,55,,
296.7246902,136.047,55,,
297.8485284,136.052,55,,
298.9755337,136.058,55,,
300.1029999,136.064,55,,
301.2265012,136.069,55,,
302.3517113,136.074,55,,
303.478471,136.08,55,,
304.5992639,136.085,55,,
305.728467,136.091,55,,
306.8568406,136.096,55,,
307.9831774,136.102,55,,
309.0982807,136.107,55,,
310.2241902,136.112,55,,
311.3469052,136.117,55,,
312.469476,136.123,55,,
313.5911725,136.128,55,,
314.7093318,136.133,55,,
315.8351352,136.138,55,,
316.9637215,136.143,55,,
318.0882683,136.149,55,,
319.2129011,136.154,55,,
320.3364909,136.159,55,,
321.460645,136.164,55,,
322.5842352,136.169,55,,
323.7142861,136.174,55,,
324.8299129,136.179,55,,
325.9562371,136.184,55,,
327.083092,136.189,55,,
328.20508,136.194,55,,
329.317564,136.199,55,,
330.4416022,136.204,55,,
331.5682003,136.209,55,,
332.6963503,136.214,55,,
333.8194358,136.219,55,,
334.9491165,136.224,55,,
336.070909,136.229,55,,
337.1960094,136.234,55,,
338.3106501,136.239,55,,
339.4350538,136.243,55,,
340.5568411,136.248,55,,
341.6821408,136.253,55,,
342.8039429,136.258,55,,
343.928721,136.262,55,,
345.0568843,136.267,55,,
346.178689,136.272,55,,
347.3064182,136.277,55,,
348.4221454,136.282,55,,
349.5445647,136.286,55,,
350.669229,136.291,55,,
351.7959404,136.296,55,,
352.9208055,136.3,55,,
354.0477035,136.305,55,,
355.1608758,136.309,55,,
356.2751377,136.314,55,,
357.3991215,136.319,55,,
358.5167677,136.323,55,,
359.6324422,136.328,55,,
360.7494855,136.332,55,,
361.873544,136.337,55,,
362.9980822,136.341,55,,
364.1244521,136.346,55,,
365.2481627,136.35,55,,
366.3644717,136.354,55,,
367.4932425,136.359,55,,
368.6234272,136.364,55,,
369.7542248,136.368,55,,
370.8795092,136.373,55,,
372.0024939,136.377,55,,
373.1325066,136.381,55,,
374.2620268,136.385,55,,
375.388087,136.39,55,,
376.5136418,136.394,55,,
377.6387432,136.398,55,,
378.7507133,136.402,55,,
379.8627274,136.406,55,,
380.9881063,136.411,55,,
382.1168587,136.415,55,,
383.2458181,136.419,55,,
384.3605876,136.423,55,,
385.4848177,136.428,55,,
386.6014314,136.432,55,,
387.7300661,136.435,55,,
388.8573515,136.44,55,,
389.9872003,136.444,55,,
391.1015911,136.448,55,,
392.2316005,136.452,55,,
393.3595986,136.456,55,,
394.484206,136.46,55,,
395.6115699,136.464,55,,
396.739291,136.468,55,,
397.8668058,136.472,55,,
398.9973369,136.476,55,,
400.1138837,136.48,55,,
401.2307575,136.484,55,,
402.3625586,136.488,55,,
403.4882603,136.492,55,,
404.6179326,136.496,55,,
405.7403066,136.5,55,,
406.8680105,136.504,55,,
407.9884524,136.508,55,,
409.1143517,136.511,55,,
410.2308111,136.515,55,,
411.354574,136.519,55,,
412.4823971,136.523,55,,
413.6107454,136.527,55,,
414.7220898,136.531,55,,
415.8458278,136.534,55,,
416.9692383,136.538,55,,
418.0931523,136.542,55,,
419.2144923,136.545,55,,
420.3384936,136.549,55,,
