time,T_sensor
0.029303312301635742,102.145
1.615311622619629,102.146
2.128934144973755,102.146
3.1332285404205322,102.146
3.65118408203125,102.147
4.656646490097046,102.147
5.17536473274231,102.147
6.1829993724823,102.147
6.698228597640991,102.147
7.71959376335144,102.148
8.235671997070312,102.148
9.23750638961792,102.148
9.747456073760986,102.148
10.753881931304932,102.149
11.261269330978394,102.149
12.261363744735718,102.149
12.778769254684448,102.149
13.79015326499939,102.15
14.304871559143066,102.15
15.309068441390991,102.15
15.822236061096191,102.15
16.83711814880371,102.151
17.352157831192017,102.151
18.37167525291443,102.151
18.89692449569702,102.152
19.893673181533813,102.152
20.43004608154297,102.152
21.422407865524292,102.153
21.94908881187439,102.153
22.939145803451538,102.153
23.46325397491455,102.154
24.462316513061523,102.154
24.992587566375732,102.154
25.98207998275757,102.154
26.511287689208984,102.154
27.499382495880127,102.155
28.02803373336792,102.155
29.017253637313843,102.155
29.543632745742798,102.156
30.544050693511963,102.156
31.064202547073364,102.157
32.07125544548035,102.157
32.587268352508545,102.157
33.60209631919861,102.158
34.12407064437866,102.158
35.12853217124939,102.158
35.64599919319153,102.159
36.64925575256348,102.159
37.16748857498169,102.159
38.18256950378418,102.159
38.70324754714966,102.16
39.7096791267395,102.16
40.22627544403076,102.16
41.22950077056885,102.161
41.744351387023926,102.161
42.74738097190857,102.161
43.267141580581665,102.161
44.27422285079956,102.161
44.785359144210815,102.162
45.794060707092285,102.162
46.30467391014099,102.162
47.3173508644104,102.162
47.832688331604004,102.162
48.834513902664185,102.163
49.34677505493164,102.163
50.35137605667114,102.163
50.871307611465454,102.163
51.8721969127655,102.163
52.395187854766846,102.163
53.39653015136719,102.164
53.915215492248535,102.164
54.9178147315979,102.164
55.431413650512695,102.164
56.44066023826599,102.165
56.95996594429016,102.164
57.958242416381836,102.165
58.48919129371643,102.164
59.48262548446655,102.165
60.01422095298767,102.165
61.14326882362366,102.165
61.65403199195862,102.165
62.66116118431091,102.166
63.172072410583496,102.166
64.17784571647644,102.166
64.69544959068298,102.166
65.70498991012573,102.166
66.22225332260132,102.166
67.2387924194336,102.166
67.75627565383911,102.166
68.76826119422913,102.167
69.28603935241699,102.167
70.30139660835266,102.167
70.81227350234985,102.167
71.82002139091492,102.167
72.33364224433899,102.168
73.34595084190369,102.168
73.85707330703735,102.168
74.85811924934387,102.168
75.37255215644836,102.168
76.37566781044006,102.169
76.88727617263794,102.169
77.90752816200256,102.169
78.42306995391846,102.169
79.44581937789917,102.169
79.96620583534241,102.169
80.97730493545532,102.17
81.48828744888306,102.169
82.50962996482849,102.17
83.02635288238525,102.17
84.03837656974792,102.17
84.55706715583801,102.171
85.5682303905487,102.171
86.08274269104004,102.171
87.09246158599854,102.171
87.60573244094849,102.171
88.60891962051392,102.171
89.12911415100098,102.171
90.12002658843994,102.172
90.64934253692627,102.172
91.64001059532166,102.172
92.16859269142151,102.172
93.16910862922668,102.172
93.68692183494568,102.172
94.69108200073242,102.172
95.20595121383667,102.173
96.2146589756012,102.173
96.73337602615356,102.173
97.74050450325012,102.173
98.26101398468018,102.173
99.26943612098694,102.174
99.78835034370422,102.174
100.80689692497253,102.174
101.32619404792786,102.174
102.32076930999756,102.174
102.84789967536926,102.174
103.84187817573547,102.174
104.36624050140381,102.174
105.35842394828796,102.175
105.88677382469177,102.175
106.87534427642822,102.175
107.40125155448914,102.175
108.38808560371399,102.175
108.929612159729,102.176
109.91069412231445,102.176
110.45383143424988,102.176
111.43151473999023,102.176
111.97631573677063,102.176
112.95536637306213,102.176
113.49430346488953,102.177
114.47145581245422,102.176
115.01446294784546,102.177
115.99570870399475,102.177
116.54079723358154,102.177
117.51825976371765,102.177
118.06102585792542,102.177
119.04241943359375,102.177
119.5869631767273,102.177
120.55891060829163,102.178
121.35192728042603,102.178
122.07616925239563,102.178
122.86617374420166,102.178
123.5954110622406,102.178
124.38315081596375,102.178
125.11856818199158,102.179
125.90732383728027,102.179
126.63624572753906,102.179
127.42802333831787,102.179
128.15758347511292,102.179
128.95021724700928,102.179
129.68292140960693,102.179
130.47127556800842,102.179
131.19690895080566,102.18
132.00428581237793,102.18
132.7219843864441,102.18
133.53095173835754,102.18
134.24364042282104,102.18
135.04505395889282,102.18
135.77869939804077,102.18
136.57752799987793,102.18
137.31128025054932,102.18
138.0992546081543,102.18
138.829092502594,102.18
139.61409831047058,102.18
140.3864893913269,102.181
141.13144659996033,102.181
141.90437173843384,102.18
142.64418482780457,102.181
143.43699622154236,102.181
144.16911387443542,102.181
144.95645451545715,102.181
145.68518352508545,102.181
146.47921562194824,102.181
147.20508933067322,102.181
147.99550104141235,102.181
148.72297072410583,102.181
149.52430725097656,102.181
150.2609305381775,102.181
151.04808855056763,102.181
151.7782425880432,102.181
152.5768461227417,102.182
153.30291867256165,102.182
154.0933017730713,102.181
154.82022142410278,102.182
155.61617016792297,102.182
156.3459529876709,102.182
157.14049625396729,102.182
157.87196373939514,102.182
158.66547441482544,102.182
159.40168356895447,102.183
160.19871163368225,102.183
160.93008422851562,102.183
161.72267293930054,102.183
162.4584994316101,102.183
163.2511444091797,102.183
163.98716115951538,102.184
164.78045678138733,102.183
165.51388311386108,102.184
166.304669380188,102.184
167.03622603416443,102.184
167.82643342018127,102.184
168.5529978275299,102.184
169.34832191467285,102.184
170.07296109199524,102.184
170.86224603652954,102.185
171.59235072135925,102.185
172.38486075401306,102.185
173.11888933181763,102.185
173.91190767288208,102.185
174.6420030593872,102.186
175.43593907356262,102.186
176.16488480567932,102.186
176.95593094825745,102.186
