time,T_sensor,Output
0.5830247402191162,102.953,"+000.00
"
2.1103594303131104,102.952,"+000.00
"
3.6418063640594482,102.952,"+000.00
"
5.175894737243652,102.952,"+000.00
"
6.7043256759643555,102.951,"+000.00
"
8.231976509094238,102.951,"+000.00
"
9.758785247802734,102.95,"+000.00
"
11.284728288650513,102.95,"+000.00
"
12.812765121459961,102.95,"+000.00
"
14.337842464447021,102.949,"+000.00
"
15.853182554244995,102.948,"+000.00
"
17.38086438179016,102.948,"+000.00
"
18.911235809326172,102.948,"+000.00
"
20.436769485473633,102.947,"+000.00
"
21.968348264694214,102.947,"+000.00
"
23.504956007003784,102.946,"+000.00
"
25.030284881591797,102.946,"+000.00
"
26.560314416885376,102.946,"+000.00
"
28.07736349105835,102.946,"+000.00
"
29.605527639389038,102.946,"+000.00
"
31.124817609786987,102.945,"+000.00
"
32.64523005485535,102.945,"+000.00
"
34.17721509933472,102.945,"+000.00
"
35.707483768463135,102.945,"+000.00
"
37.238853454589844,102.945,"+000.00
"
38.7689311504364,102.944,"+000.00
"
40.297969818115234,102.944,"+000.00
"
41.83039903640747,102.944,"+000.00
"
43.359134674072266,102.944,"+000.00
"
44.88420844078064,102.943,"+000.00
"
46.410027742385864,102.943,"+000.00
"
47.93152570724487,102.943,"+000.00
"
49.45954132080078,102.943,"+000.00
"
50.97996926307678,102.942,"+000.00
"
52.506083726882935,102.943,"+000.00
"
54.031548738479614,102.943,"+000.00
"
55.55372953414917,102.943,"+000.00
"
57.07507920265198,102.943,"+000.00
"
58.60083365440369,102.943,"+000.00
"
60.12539052963257,102.943,"+000.00
"
61.65059018135071,102.943,"+000.00
"
63.182095766067505,102.943,"+000.00
"
64.71980667114258,102.943,"+000.00
"
66.25201344490051,102.943,"+000.00
"
67.78146481513977,102.943,"+000.00
"
69.31612038612366,102.943,"+000.00
"
70.84592723846436,102.943,"+000.00
"
72.37547707557678,102.943,"+000.00
"
73.90673089027405,102.943,"+000.00
"
75.4248628616333,102.942,"+000.00
"
76.95098304748535,102.943,"+000.00
"
78.4739441871643,102.943,"+000.00
"
80.00008201599121,102.943,"+000.00
"
81.52847170829773,102.943,"+000.00
"
83.05152535438538,102.943,"+000.00
"
84.57309913635254,102.943,"+000.00
"
86.10329174995422,102.943,"+000.00
"
87.63820052146912,102.943,"+000.00
"
89.1752347946167,102.943,"+000.00
"
90.7056016921997,102.943,"+000.00
"
92.22988224029541,102.943,"+000.00
"
93.74976134300232,102.944,"+000.00
"
95.2721962928772,102.944,"+000.00
"
96.79019689559937,102.944,"+000.00
"
98.31797695159912,102.944,"+000.00
"
99.84471893310547,102.944,"+000.00
"
101.38177418708801,102.944,"+000.00
"
102.91499328613281,102.944,"+000.00
"
104.44099593162537,102.945,"+000.00
"
105.97684335708618,102.945,"+000.00
"
107.50757312774658,102.944,"+000.00
"
109.03677773475647,102.945,"+000.00
"
110.56359839439392,102.945,"+000.00
"
112.08863115310669,102.945,"+000.00
"
113.61375522613525,102.945,"+000.00
"
115.14272952079773,102.945,"+000.00
"
116.67174100875854,102.945,"+000.00
"
118.2015643119812,102.945,"+000.00
"
119.7317419052124,102.945,"+000.00
"
121.26461386680603,102.945,"+000.00
"
122.7949378490448,102.945,"+000.00
"
124.32163763046265,102.945,"+000.00
"
125.84875655174255,102.945,"+000.00
"
127.38254070281982,102.945,"+000.00
"
128.91387486457825,102.946,"+000.00
"
130.4430968761444,102.946,"+000.00
"
131.98259711265564,102.946,"+000.00
"
133.5132281780243,102.946,"+000.00
"
135.0457320213318,102.946,"+000.00
"
136.57617735862732,102.946,"+000.00
"
138.10305309295654,102.947,"+000.00
"
