time,temp,heater output,goal temp
0.000998974,116.658,40,113.6771311
1.521960735,116.659,40,113.6771311
3.043940306,116.659,40,113.6771311
4.566152334,116.66,40,113.6771311
6.085713863,116.66,40,113.6771311
7.621525049,116.66,40,113.6771311
9.155631304,116.661,40,113.6771311
10.68849564,116.662,40,113.6771311
12.2134285,116.662,40,113.6771311
13.74795508,116.663,40,113.6771311
15.2724967,116.663,40,113.6771311
16.80541205,116.664,40,113.6771311
18.3319726,116.664,40,113.6771311
19.85204029,116.665,40,113.6771311
21.37615061,116.666,40,113.6771311
22.89896274,116.666,40,113.6771311
24.43881106,116.667,40,113.6771311
25.96846604,116.667,40,113.6771311
27.50387669,116.668,40,113.6771311
29.03016281,116.668,40,113.6771311
30.55761981,116.668,40,113.6771311
32.08320761,116.669,40,113.6771311
33.60668778,116.67,40,113.6771311
35.13361454,116.67,40,113.6771311
36.66247201,116.67,40,113.6771311
38.1899128,116.67,40,113.6771311
39.72351933,116.67,40,113.6771311
41.2543714,116.67,40,113.6771311
42.78329754,116.671,40,113.6771311
44.31991458,116.67,40,113.6771311
45.84475088,116.671,40,113.6771311
47.3770237,116.671,40,113.6771311
48.89634848,116.671,40,113.6771311
50.41454911,116.671,40,113.6771311
51.94006968,116.671,40,113.6771311
53.47014761,116.671,40,113.6771311
54.99349141,116.671,40,113.6771311
56.52409935,116.672,40,113.6771311
58.05134821,116.671,40,113.6771311
59.57593942,116.672,40,113.6771311
61.11819267,116.672,40,113.6771311
62.63978219,116.672,40,113.6771311
64.1646235,116.672,40,113.6771311
65.69095874,116.673,40,113.6771311
67.21499324,116.673,40,113.6771311
68.73762131,116.673,40,113.6771311
70.26503921,116.673,40,113.6771311
71.78389668,116.673,40,113.6771311
73.30661273,116.674,40,113.6771311
74.83028054,116.674,40,113.6771311
76.35771823,116.674,40,113.6771311
77.88938069,116.674,40,113.6771311
79.415272,116.675,40,113.6771311
80.94186163,116.675,40,113.6771311
82.46561432,116.675,40,113.6771311
83.98859167,116.675,40,113.6771311
85.5123384,116.676,40,113.6771311
87.04272127,116.676,40,113.6771311
88.56930518,116.676,40,113.6771311
90.09903741,116.677,40,113.6771311
91.62799335,116.677,40,113.6771311
93.1564939,116.677,40,113.6771311
94.68678617,116.678,40,113.6771311
96.2127347,116.678,40,113.6771311
97.73679686,116.679,40,113.6771311
99.25982571,116.679,40,113.6771311
100.7889407,116.68,40,113.6771311
102.3142982,116.68,40,113.6771311
103.8475144,116.681,40,113.6771311
105.3719745,116.681,40,113.6771311
106.902384,116.682,40,113.6771311
108.4289899,116.683,40,113.6771311
109.9538229,116.683,40,113.6771311
111.4859903,116.683,40,113.6771311
113.0128834,116.684,40,113.6771311
114.5407085,116.684,40,113.6771311
116.0687761,116.685,40,113.6771311
117.5934458,116.686,40,113.6771311
119.121398,116.686,40,113.6771311
120.6532133,116.686,40,113.6771311
122.1801646,116.687,40,113.6771311
123.7087438,116.687,40,113.6771311
125.2419956,116.687,40,113.6771311
126.7717896,116.688,40,113.6771311
128.3008516,116.688,40,113.6771311
129.8269775,116.688,40,113.6771311
131.3443923,116.688,40,113.6771311
132.8699191,116.688,40,113.6771311
134.3902369,116.688,40,113.6771311
135.9224544,116.688,40,113.6771311
137.4522045,116.688,40,113.6771311
138.9817913,116.688,40,113.6771311
140.5104914,116.688,40,113.6771311
142.0421715,116.688,40,113.6771311
143.5688989,116.688,40,113.6771311
145.1007385,116.687,40,113.6771311
146.621253,116.687,40,113.6771311
148.1472092,116.687,40,113.6771311
149.6723573,116.687,40,113.6771311
151.1992514,116.687,40,113.6771311
152.7287197,116.686,40,113.6771311
154.2548921,116.686,40,113.6771311
155.780757,116.686,40,113.6771311
157.305367,116.686,40,113.6771311
158.8392999,116.686,40,113.6771311
160.3680594,116.685,40,113.6771311
161.8971748,116.685,40,113.6771311
163.4195759,116.685,40,113.6771311
164.9424953,116.685,40,113.6771311
166.4764457,116.685,40,113.6771311
168.0017254,116.685,40,113.6771311
169.5199738,116.685,40,113.6771311
171.0476301,116.685,40,113.6771311
172.5741053,116.685,40,113.6771311
174.101136,116.685,40,113.6771311
175.6306534,116.685,40,113.6771311
177.1549783,116.686,40,113.6771311
178.6826236,116.686,40,113.6771311
180.2114556,116.686,40,113.6771311
181.7345686,116.686,40,113.6771311
183.2590294,116.686,40,113.6771311
