time,temp,heater output,goal temp
0.001977682113647461,129.43,45.0,118.1628437185665
1.5296032428741455,129.414,45.0,118.1628437185665
3.0553853511810303,129.4,45.0,118.1628437185665
4.589756488800049,129.385,45.0,118.1628437185665
6.116582632064819,129.37,45.0,118.1628437185665
7.645841121673584,129.355,45.0,118.1628437185665
9.174048900604248,129.341,45.0,118.1628437185665
10.70425534248352,129.326,45.0,118.1628437185665
12.23572325706482,129.311,45.0,118.1628437185665
13.758214712142944,129.297,45.0,118.1628437185665
15.279930114746094,129.283,45.0,118.1628437185665
16.81186556816101,129.268,45.0,118.1628437185665
18.348369598388672,129.254,45.0,118.1628437185665
19.874229669570923,129.24,45.0,118.1628437185665
21.409423828125,129.226,45.0,118.1628437185665
22.944252014160156,129.211,45.0,118.1628437185665
24.47989797592163,129.197,45.0,118.1628437185665
26.008112907409668,129.183,45.0,118.1628437185665
27.534088373184204,129.168,45.0,118.1628437185665
29.065724849700928,129.155,45.0,118.1628437185665
30.592122316360474,129.142,45.0,118.1628437185665
32.10199165344238,129.128,45.0,118.1628437185665
33.63958978652954,129.113,45.0,118.1628437185665
35.17194747924805,129.1,45.0,118.1628437185665
36.70568013191223,129.087,45.0,118.1628437185665
38.244712591171265,129.072,45.0,118.1628437185665
39.77985906600952,129.059,45.0,118.1628437185665
41.30493640899658,129.046,45.0,118.1628437185665
42.8424973487854,129.031,45.0,118.1628437185665
44.37255501747131,129.018,45.0,118.1628437185665
45.90046811103821,129.004,45.0,118.1628437185665
47.42146444320679,128.99,45.0,118.1628437185665
48.94291806221008,128.976,45.0,118.1628437185665
50.48250937461853,128.963,45.0,118.1628437185665
52.01255965232849,128.949,45.0,118.1628437185665
53.5490996837616,128.935,45.0,118.1628437185665
55.08332705497742,128.921,45.0,118.1628437185665
56.626248598098755,128.906,45.0,118.1628437185665
58.16257357597351,128.892,45.0,118.1628437185665
59.69063901901245,128.878,45.0,118.1628437185665
61.2212176322937,128.864,45.0,118.1628437185665
62.75243258476257,128.85,45.0,118.1628437185665
64.28008198738098,128.836,45.0,118.1628437185665
65.8126699924469,128.822,45.0,118.1628437185665
67.3386914730072,128.808,45.0,118.1628437185665
68.87259340286255,128.794,45.0,118.1628437185665
70.39643263816833,128.78,45.0,118.1628437185665
71.93616580963135,128.765,45.0,118.1628437185665
73.463876247406,128.752,45.0,118.1628437185665
75.00175929069519,128.738,45.0,118.1628437185665
76.53426861763,128.723,45.0,118.1628437185665
78.06225943565369,128.71,45.0,118.1628437185665
79.5849597454071,128.696,45.0,118.1628437185665
81.10511827468872,128.683,45.0,118.1628437185665
82.64267945289612,128.669,45.0,118.1628437185665
84.1608247756958,128.655,45.0,118.1628437185665
85.69993185997009,128.642,45.0,118.1628437185665
87.23575258255005,128.627,45.0,118.1628437185665
88.7702739238739,128.614,45.0,118.1628437185665
90.30934500694275,128.601,45.0,118.1628437185665
91.84722566604614,128.588,45.0,118.1628437185665
93.37933444976807,128.574,45.0,118.1628437185665
94.90463185310364,128.562,45.0,118.1628437185665
96.43584942817688,128.548,45.0,118.1628437185665
97.96185827255249,128.535,45.0,118.1628437185665
99.48710203170776,128.522,45.0,118.1628437185665
101.0221619606018,128.509,45.0,118.1628437185665
102.55918431282043,128.496,45.0,118.1628437185665
104.09568214416504,128.484,45.0,118.1628437185665
105.63557267189026,128.47,45.0,118.1628437185665
107.1788444519043,128.458,45.0,118.1628437185665
108.71756219863892,128.446,45.0,118.1628437185665
110.2428514957428,128.432,45.0,118.1628437185665
111.77370691299438,128.42,45.0,118.1628437185665
113.31025457382202,128.408,45.0,118.1628437185665
114.8414933681488,128.395,45.0,118.1628437185665
116.38083148002625,128.383,45.0,118.1628437185665
117.9042272567749,128.371,45.0,118.1628437185665
119.44022631645203,128.359,45.0,118.1628437185665
120.96737217903137,128.346,45.0,118.1628437185665
122.50912666320801,128.335,45.0,118.1628437185665
124.04661417007446,128.322,45.0,118.1628437185665
125.5788254737854,128.31,45.0,118.1628437185665
127.10264158248901,128.299,45.0,118.1628437185665
128.6206545829773,128.287,45.0,118.1628437185665
130.1545307636261,128.274,45.0,118.1628437185665
131.68688321113586,128.263,45.0,118.1628437185665
133.215416431427,128.252,45.0,118.1628437185665
134.7542760372162,128.239,45.0,118.1628437185665
136.27987241744995,128.228,45.0,118.1628437185665
137.81824278831482,128.216,45.0,118.1628437185665
139.35450530052185,128.205,45.0,118.1628437185665
140.89139103889465,128.193,45.0,118.1628437185665
142.415540933609,128.182,45.0,118.1628437185665
143.94144225120544,128.17,45.0,118.1628437185665
145.46604943275452,128.159,45.0,118.1628437185665
146.99937438964844,128.148,45.0,118.1628437185665
148.54304385185242,128.136,45.0,118.1628437185665
150.08319306373596,128.124,45.0,118.1628437185665
151.61663842201233,128.113,45.0,118.1628437185665
153.14977550506592,128.101,45.0,118.1628437185665
154.69233059883118,128.089,45.0,118.1628437185665
156.22775292396545,128.077,45.0,118.1628437185665
157.75497722625732,128.066,45.0,118.1628437185665
159.2844319343567,128.055,45.0,118.1628437185665
160.8061170578003,128.043,45.0,118.1628437185665
162.33058905601501,128.031,45.0,118.1628437185665
163.86938977241516,128.019,45.0,118.1628437185665
165.39609384536743,128.008,45.0,118.1628437185665
166.93664932250977,127.996,45.0,118.1628437185665
168.46149253845215,127.984,45.0,118.1628437185665
169.98084378242493,127.973,45.0,118.1628437185665
171.51594734191895,127.961,45.0,118.1628437185665
173.04256319999695,127.949,45.0,118.1628437185665
174.5689835548401,127.937,45.0,118.1628437185665
176.09466218948364,127.926,45.0,118.1628437185665
